,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,2.05,0.59,1.1,1.71,4.72,4.03,8.82,7.24,2.76,15.76,334.36,444.74,106.87,303.08,88.416
identified_templates,10.0,315.0,16.0,58.0,159.0,135.0,25.0,43.0,424.0,17.0,265.0,8011.0,304.0,19.0,700.071
ground_templates,11.0,338.0,29.0,89.0,236.0,156.0,48.0,74.0,626.0,38.0,236.0,1241.0,320.0,46.0,249.143
GA,0.0,0.728,0.287,0.761,0.712,0.952,0.16,0.825,0.399,0.243,0.328,0.249,0.653,0.208,0.465
PA,0.0,0.035,0.002,0.472,0.172,0.454,0.019,0.808,0.182,0.0,0.222,0.106,0.637,0.0,0.222
FGA,0.0,0.649,0.533,0.585,0.597,0.749,0.548,0.53,0.552,0.327,0.279,0.087,0.308,0.4,0.439
PTA,0.0,0.244,0.188,0.431,0.264,0.437,0.2,0.535,0.276,0.059,0.143,0.02,0.237,0.0,0.217
RTA,0.0,0.228,0.103,0.281,0.178,0.378,0.104,0.311,0.187,0.026,0.161,0.131,0.225,0.0,0.165
FTA,0.0,0.236,0.133,0.34,0.213,0.405,0.137,0.393,0.223,0.036,0.152,0.035,0.231,0.0,0.181
