Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,1.73,7,8,0.493,0.000,0.400,0.000,0.000,0.000
Linux,3.25,17,118,0.107,0.080,0.074,0.176,0.025,0.044
Apache,0.98,7,6,0.731,0.000,0.769,0.000,0.000,0.000
Zookeeper,4.53,39,50,0.782,0.449,0.427,0.128,0.100,0.112
Hadoop,6.31,23,114,0.632,0.073,0.088,0.043,0.009,0.015
HealthApp,3.51,67,75,0.092,0.121,0.056,0.045,0.040,0.042
OpenStack,5.53,38,43,0.839,0.011,0.716,0.026,0.023,0.025
HPC,26.54,150,46,0.382,0.533,0.245,0.073,0.239,0.112
Mac,70.69,228,341,0.517,0.117,0.313,0.075,0.050,0.060
OpenSSH,7.06,29,26,0.442,0.068,0.545,0.069,0.077,0.073
Spark,3.18,15,36,0.543,0.000,0.235,0.000,0.000,0.000
Thunderbird,14.78,16,149,0.755,0.000,0.048,0.000,0.000,0.000
BGL,106.50,128,120,0.232,0.081,0.419,0.062,0.067,0.065
HDFS,1.54,13,14,0.508,0.000,0.444,0.000,0.000,0.000
