Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,0.16,9,8,0.526,0.000,0.824,0.000,0.000,0.000
Linux,0.15,101,118,0.518,0.253,0.840,0.525,0.449,0.484
Apache,0.10,6,6,1.000,0.270,1.000,0.167,0.167,0.167
Zookeeper,0.12,48,50,0.988,0.667,0.878,0.562,0.540,0.551
Hadoop,0.14,96,114,0.936,0.166,0.800,0.312,0.263,0.286
HealthApp,0.11,68,75,0.891,0.420,0.853,0.588,0.533,0.559
OpenStack,0.17,32,43,0.342,0.018,0.720,0.094,0.070,0.080
HPC,0.10,43,46,0.909,0.872,0.921,0.767,0.717,0.742
Mac,0.21,311,341,0.875,0.411,0.847,0.431,0.393,0.411
OpenSSH,0.12,26,26,0.548,0.073,0.846,0.154,0.154,0.154
Spark,0.11,31,36,0.922,0.396,0.806,0.387,0.333,0.358
Thunderbird,0.15,154,149,0.974,0.436,0.825,0.474,0.490,0.482
BGL,0.14,101,120,0.867,0.842,0.742,0.584,0.492,0.534
HDFS,0.12,14,14,1.000,0.000,1.000,0.000,0.000,0.000
