,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,0.17,0.15,0.1,0.12,0.18,0.12,0.19,0.11,0.21,0.16,0.12,0.16,0.15,0.13,0.148
identified_templates,9.0,115.0,6.0,48.0,108.0,72.0,37.0,43.0,336.0,69.0,31.0,155.0,109.0,14.0,82.286
ground_templates,8.0,118.0,6.0,50.0,114.0,75.0,43.0,46.0,341.0,26.0,36.0,149.0,120.0,14.0,81.857
GA,0.526,0.407,1.0,0.986,0.977,0.901,0.416,0.909,0.899,0.487,0.922,0.979,0.96,1.0,0.812
PA,0.0,0.138,0.27,0.665,0.169,0.43,0.018,0.872,0.419,0.073,0.396,0.438,0.917,0.0,0.343
FGA,0.824,0.876,1.0,0.837,0.919,0.939,0.825,0.921,0.904,0.4,0.806,0.855,0.838,1.0,0.853
PTA,0.0,0.53,0.167,0.521,0.315,0.667,0.081,0.767,0.443,0.058,0.387,0.484,0.661,0.0,0.363
RTA,0.0,0.517,0.167,0.5,0.298,0.64,0.07,0.717,0.437,0.154,0.333,0.503,0.6,0.0,0.353
FTA,0.0,0.524,0.167,0.51,0.306,0.653,0.075,0.742,0.44,0.084,0.358,0.493,0.629,0.0,0.356
