Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,1.54,9,11,0.521,0.000,0.700,0.000,0.000,0.000
Linux,0.66,358,338,0.339,0.065,0.747,0.285,0.302,0.293
Apache,1.21,29,29,1.000,0.093,1.000,0.310,0.310,0.310
Zookeeper,1.53,75,89,0.985,0.503,0.829,0.533,0.449,0.488
Hadoop,4.19,224,236,0.635,0.245,0.830,0.317,0.301,0.309
HealthApp,3.87,148,156,0.981,0.468,0.842,0.426,0.404,0.414
OpenStack,8.45,36,48,0.365,0.019,0.714,0.139,0.104,0.119
HPC,7.53,72,74,0.854,0.892,0.836,0.639,0.622,0.630
Mac,2.90,619,626,0.814,0.359,0.741,0.325,0.321,0.323
OpenSSH,17.62,36,38,0.668,0.151,0.811,0.306,0.289,0.297
Spark,385.25,363,236,0.721,0.413,0.561,0.207,0.318,0.250
Thunderbird,459.28,8371,1241,0.546,0.137,0.150,0.034,0.227,0.059
BGL,108.67,398,320,0.741,0.718,0.501,0.322,0.400,0.357
HDFS,301.94,33,46,0.721,0.000,0.684,0.000,0.000,0.000
