,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,0.15,0.19,0.1,0.13,0.15,0.12,0.21,0.11,0.33,0.09,0.12,0.17,0.15,0.14,0.154
identified_templates,6.0,103.0,6.0,47.0,113.0,70.0,36.0,46.0,287.0,22.0,29.0,159.0,97.0,13.0,73.857
ground_templates,8.0,118.0,6.0,50.0,114.0,75.0,43.0,46.0,341.0,26.0,36.0,149.0,120.0,14.0,81.857
GA,0.976,0.682,1.0,0.987,0.921,0.986,0.871,0.96,0.801,0.553,0.92,0.914,0.894,0.731,0.871
PA,0.0,0.21,0.27,0.666,0.167,0.519,0.018,0.71,0.403,0.128,0.396,0.38,0.515,0.166,0.325
FGA,0.714,0.851,1.0,0.845,0.811,0.897,0.81,0.935,0.761,0.667,0.769,0.857,0.71,0.889,0.823
PTA,0.0,0.602,0.167,0.532,0.283,0.657,0.083,0.674,0.422,0.182,0.414,0.516,0.557,0.154,0.374
RTA,0.0,0.525,0.167,0.5,0.281,0.613,0.07,0.674,0.355,0.154,0.333,0.55,0.45,0.143,0.344
FTA,0.0,0.561,0.167,0.515,0.282,0.634,0.076,0.674,0.385,0.167,0.369,0.532,0.498,0.148,0.358
