,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,0.6,1.01,0.91,1.67,4.09,3.67,8.17,7.73,5.15,16.78,406.54,469.26,109.33,293.16,94.862
identified_templates,6.0,366.0,29.0,76.0,284.0,156.0,41.0,77.0,613.0,37.0,347.0,8362.0,390.0,34.0,772.714
ground_templates,11.0,338.0,29.0,89.0,236.0,156.0,48.0,74.0,626.0,38.0,236.0,1241.0,320.0,46.0,249.143
GA,0.505,0.365,1.0,0.986,0.842,0.929,0.881,0.71,0.794,0.331,0.75,0.678,0.745,0.721,0.731
PA,0.494,0.066,0.094,0.816,0.245,0.48,0.019,0.708,0.366,0.092,0.413,0.218,0.349,0.165,0.323
FGA,0.471,0.744,1.0,0.848,0.681,0.846,0.831,0.702,0.738,0.667,0.559,0.151,0.504,0.725,0.676
PTA,0.333,0.287,0.379,0.737,0.25,0.449,0.122,0.545,0.356,0.243,0.219,0.036,0.315,0.529,0.343
RTA,0.182,0.311,0.379,0.629,0.301,0.449,0.104,0.568,0.348,0.237,0.322,0.243,0.384,0.391,0.346
FTA,0.235,0.298,0.379,0.679,0.273,0.449,0.112,0.556,0.352,0.24,0.261,0.063,0.346,0.45,0.335
