,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,1.55,0.71,1.18,1.68,4.22,3.84,8.64,7.5,2.81,16.5,389.37,438.18,112.09,301.49,92.126
identified_templates,9.0,358.0,29.0,75.0,230.0,150.0,37.0,72.0,622.0,39.0,368.0,8379.0,409.0,35.0,772.286
ground_templates,11.0,338.0,29.0,89.0,236.0,156.0,48.0,74.0,626.0,38.0,236.0,1241.0,320.0,46.0,249.143
GA,0.521,0.374,1.0,0.985,0.629,0.985,0.385,0.854,0.823,0.39,0.723,0.605,0.763,1.0,0.717
PA,0.0,0.076,0.093,0.503,0.246,0.473,0.019,0.892,0.366,0.151,0.413,0.141,0.719,0.0,0.292
FGA,0.7,0.773,1.0,0.829,0.824,0.843,0.753,0.836,0.748,0.727,0.55,0.151,0.51,0.716,0.711
PTA,0.0,0.293,0.31,0.533,0.317,0.427,0.135,0.639,0.328,0.282,0.204,0.034,0.32,0.0,0.273
RTA,0.0,0.311,0.31,0.449,0.309,0.41,0.104,0.622,0.326,0.289,0.318,0.23,0.409,0.0,0.292
FTA,0.0,0.302,0.31,0.488,0.313,0.418,0.118,0.63,0.327,0.286,0.248,0.059,0.359,0.0,0.276
