,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,0.16,0.15,0.1,0.12,0.14,0.11,0.17,0.1,0.21,0.12,0.11,0.15,0.14,0.12,0.136
identified_templates,9.0,101.0,6.0,48.0,96.0,68.0,32.0,43.0,311.0,26.0,31.0,154.0,101.0,14.0,74.286
ground_templates,8.0,118.0,6.0,50.0,114.0,75.0,43.0,46.0,341.0,26.0,36.0,149.0,120.0,14.0,81.857
GA,0.526,0.518,1.0,0.988,0.936,0.891,0.342,0.909,0.875,0.548,0.922,0.974,0.867,1.0,0.807
PA,0.0,0.253,0.27,0.667,0.166,0.42,0.018,0.872,0.411,0.073,0.396,0.436,0.842,0.0,0.345
FGA,0.824,0.84,1.0,0.878,0.8,0.853,0.72,0.921,0.847,0.846,0.806,0.825,0.742,1.0,0.85
PTA,0.0,0.525,0.167,0.562,0.312,0.588,0.094,0.767,0.431,0.154,0.387,0.474,0.584,0.0,0.36
RTA,0.0,0.449,0.167,0.54,0.263,0.533,0.07,0.717,0.393,0.154,0.333,0.49,0.492,0.0,0.329
FTA,0.0,0.484,0.167,0.551,0.286,0.559,0.08,0.742,0.411,0.154,0.358,0.482,0.534,0.0,0.343
