,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,0.6,0.95,1.06,1.72,4.49,3.75,8.42,8.03,5.52,17.44,392.43,440.97,110.6,299.35,92.524
identified_templates,7.0,367.0,29.0,76.0,286.0,157.0,41.0,78.0,613.0,39.0,358.0,8364.0,393.0,33.0,774.357
ground_templates,11.0,338.0,29.0,89.0,236.0,156.0,48.0,74.0,626.0,38.0,236.0,1241.0,320.0,46.0,249.143
GA,0.514,0.363,1.0,0.985,0.842,0.928,0.881,0.71,0.805,0.609,0.753,0.68,0.748,0.721,0.753
PA,0.503,0.066,0.094,0.815,0.245,0.479,0.019,0.708,0.371,0.093,0.414,0.216,0.347,0.165,0.324
FGA,0.556,0.738,1.0,0.836,0.682,0.837,0.831,0.724,0.736,0.753,0.582,0.152,0.499,0.684,0.686
PTA,0.429,0.286,0.379,0.711,0.248,0.439,0.122,0.564,0.361,0.282,0.215,0.036,0.313,0.485,0.348
RTA,0.273,0.311,0.379,0.607,0.301,0.442,0.104,0.595,0.353,0.289,0.326,0.24,0.384,0.348,0.354
FTA,0.333,0.298,0.379,0.655,0.272,0.441,0.112,0.579,0.357,0.286,0.259,0.062,0.345,0.405,0.342
