,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,0.14,0.18,0.09,0.13,0.14,0.11,0.18,0.1,0.33,0.12,0.16,0.15,0.15,0.13,0.151
identified_templates,6.0,104.0,6.0,48.0,114.0,70.0,36.0,46.0,292.0,25.0,29.0,157.0,97.0,13.0,74.5
ground_templates,8.0,118.0,6.0,50.0,114.0,75.0,43.0,46.0,341.0,26.0,36.0,149.0,120.0,14.0,81.857
GA,0.976,0.858,1.0,0.988,0.922,0.986,0.871,0.96,0.805,0.802,0.92,0.975,0.904,0.731,0.907
PA,0.0,0.21,0.27,0.667,0.167,0.519,0.018,0.71,0.407,0.128,0.396,0.441,0.525,0.166,0.33
FGA,0.714,0.856,1.0,0.878,0.816,0.897,0.81,0.935,0.758,0.824,0.769,0.85,0.737,0.889,0.838
PTA,0.0,0.596,0.167,0.562,0.281,0.657,0.083,0.674,0.425,0.16,0.414,0.516,0.588,0.154,0.377
RTA,0.0,0.525,0.167,0.54,0.281,0.613,0.07,0.674,0.364,0.154,0.333,0.544,0.475,0.143,0.349
FTA,0.0,0.559,0.167,0.551,0.281,0.634,0.076,0.674,0.392,0.157,0.369,0.529,0.525,0.148,0.362
