Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,0.64,8,11,0.521,0.503,0.737,0.500,0.364,0.421
Linux,0.97,373,338,0.354,0.067,0.810,0.354,0.391,0.371
Apache,1.12,35,29,0.993,0.094,0.844,0.314,0.379,0.344
Zookeeper,1.69,79,89,0.986,0.815,0.857,0.722,0.640,0.679
Hadoop,4.84,312,236,0.589,0.247,0.664,0.237,0.314,0.270
HealthApp,4.00,159,156,0.940,0.476,0.838,0.409,0.417,0.413
OpenStack,8.31,47,48,0.980,0.019,0.968,0.106,0.104,0.105
HPC,7.71,81,74,0.746,0.725,0.787,0.605,0.662,0.632
Mac,5.11,685,626,0.810,0.380,0.778,0.352,0.385,0.368
OpenSSH,19.57,1597,38,0.308,0.093,0.031,0.007,0.289,0.013
Spark,431.45,383,236,0.974,0.414,0.604,0.209,0.339,0.258
Thunderbird,454.98,8490,1241,0.579,0.192,0.164,0.039,0.269,0.069
BGL,111.26,446,320,0.892,0.462,0.580,0.365,0.509,0.426
HDFS,290.27,41,46,1.000,0.444,0.851,0.463,0.413,0.437
