Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,0.97,94,8,0.526,0.000,0.137,0.000,0.000,0.000
Linux,0.47,99,118,0.605,0.087,0.802,0.162,0.136,0.147
Apache,0.50,6,6,1.000,0.694,1.000,0.500,0.500,0.500
Zookeeper,0.43,57,50,0.964,0.452,0.729,0.211,0.240,0.224
Hadoop,0.52,167,114,0.777,0.113,0.605,0.138,0.202,0.164
HealthApp,0.43,214,75,0.639,0.152,0.367,0.065,0.187,0.097
OpenStack,1.51,451,43,0.764,0.000,0.089,0.000,0.000,0.000
HPC,0.39,46,46,0.654,0.529,0.739,0.391,0.391,0.391
Mac,0.94,358,341,0.756,0.033,0.684,0.053,0.056,0.054
OpenSSH,0.48,27,26,0.555,0.191,0.679,0.222,0.231,0.226
Spark,0.48,58,36,0.905,0.321,0.511,0.155,0.250,0.191
Thunderbird,0.53,152,149,0.844,0.026,0.638,0.145,0.148,0.146
BGL,0.66,262,120,0.786,0.197,0.487,0.042,0.092,0.058
HDFS,0.46,14,14,1.000,0.297,1.000,0.214,0.214,0.214
