Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,0.57,18,8,0.526,0.000,0.538,0.000,0.000,0.000
Linux,0.50,112,118,0.690,0.183,0.930,0.446,0.424,0.435
Apache,0.42,6,6,1.000,0.694,1.000,0.500,0.500,0.500
Zookeeper,0.43,46,50,0.967,0.497,0.854,0.370,0.340,0.354
Hadoop,0.50,103,114,0.948,0.269,0.820,0.291,0.263,0.276
HealthApp,0.38,312,75,0.780,0.231,0.351,0.067,0.280,0.109
OpenStack,0.89,299,43,0.733,0.018,0.117,0.010,0.070,0.018
HPC,0.35,47,46,0.887,0.635,0.753,0.362,0.370,0.366
Mac,0.63,394,341,0.786,0.217,0.797,0.185,0.214,0.199
OpenSSH,0.52,24,26,0.789,0.508,0.880,0.458,0.423,0.440
Spark,0.43,33,36,0.922,0.362,0.870,0.515,0.472,0.493
Thunderbird,0.51,182,149,0.955,0.046,0.773,0.225,0.275,0.248
BGL,0.50,108,120,0.963,0.342,0.833,0.222,0.200,0.211
HDFS,0.52,16,14,0.998,0.354,0.867,0.250,0.286,0.267
