,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,0.22,0.16,0.1,0.15,0.14,0.12,0.18,0.12,0.39,0.13,0.13,0.16,0.15,0.13,0.163
identified_templates,8.0,116.0,6.0,50.0,118.0,74.0,43.0,47.0,343.0,76.0,31.0,159.0,117.0,14.0,85.857
ground_templates,8.0,118.0,6.0,50.0,114.0,75.0,43.0,46.0,341.0,26.0,36.0,149.0,120.0,14.0,81.857
GA,1.0,0.407,1.0,0.991,0.951,0.999,1.0,0.994,0.905,0.427,0.997,0.977,0.984,1.0,0.902
PA,0.0,0.209,0.27,0.67,0.17,0.528,0.018,0.726,0.442,0.117,0.396,0.441,0.575,0.166,0.338
FGA,1.0,0.872,1.0,0.9,0.897,0.98,1.0,0.968,0.915,0.314,0.866,0.864,0.903,1.0,0.891
PTA,0.0,0.569,0.167,0.58,0.305,0.703,0.07,0.681,0.461,0.053,0.387,0.509,0.632,0.143,0.376
RTA,0.0,0.559,0.167,0.58,0.316,0.693,0.07,0.696,0.463,0.154,0.333,0.544,0.617,0.143,0.381
FTA,0.0,0.564,0.167,0.58,0.31,0.698,0.07,0.688,0.462,0.078,0.358,0.526,0.624,0.143,0.376
