,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,0.64,0.97,1.12,1.69,4.84,4.0,8.31,7.71,5.11,19.57,431.45,454.98,111.26,290.27,95.851
identified_templates,8.0,373.0,35.0,79.0,312.0,159.0,47.0,81.0,685.0,1597.0,383.0,8490.0,446.0,41.0,909.714
ground_templates,11.0,338.0,29.0,89.0,236.0,156.0,48.0,74.0,626.0,38.0,236.0,1241.0,320.0,46.0,249.143
GA,0.521,0.354,0.993,0.986,0.589,0.94,0.98,0.746,0.81,0.308,0.974,0.579,0.892,1.0,0.762
PA,0.503,0.067,0.094,0.815,0.247,0.476,0.019,0.725,0.38,0.093,0.414,0.192,0.462,0.444,0.352
FGA,0.737,0.81,0.844,0.857,0.664,0.838,0.968,0.787,0.778,0.031,0.604,0.164,0.58,0.851,0.679
PTA,0.5,0.354,0.314,0.722,0.237,0.409,0.106,0.605,0.352,0.007,0.209,0.039,0.365,0.463,0.334
RTA,0.364,0.391,0.379,0.64,0.314,0.417,0.104,0.662,0.385,0.289,0.339,0.269,0.509,0.413,0.391
FTA,0.421,0.371,0.344,0.679,0.27,0.413,0.105,0.632,0.368,0.013,0.258,0.069,0.426,0.437,0.343
