,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,0.18,0.2,0.1,0.13,0.15,0.13,0.2,0.11,0.33,0.14,0.15,0.18,0.15,0.15,0.164
identified_templates,8.0,120.0,6.0,52.0,121.0,74.0,43.0,47.0,342.0,33.0,31.0,175.0,120.0,14.0,84.714
ground_templates,8.0,118.0,6.0,50.0,114.0,75.0,43.0,46.0,341.0,26.0,36.0,149.0,120.0,14.0,81.857
GA,1.0,0.418,1.0,0.991,0.939,0.999,1.0,0.994,0.906,0.431,0.997,0.975,0.95,1.0,0.9
PA,0.0,0.221,0.27,0.67,0.17,0.528,0.018,0.726,0.442,0.117,0.396,0.444,0.557,0.166,0.338
FGA,1.0,0.882,1.0,0.882,0.877,0.98,1.0,0.968,0.914,0.61,0.866,0.852,0.858,1.0,0.906
PTA,0.0,0.575,0.167,0.558,0.298,0.703,0.07,0.681,0.462,0.121,0.387,0.497,0.592,0.143,0.375
RTA,0.0,0.585,0.167,0.58,0.316,0.693,0.07,0.696,0.463,0.154,0.333,0.584,0.592,0.143,0.384
FTA,0.0,0.58,0.167,0.569,0.306,0.698,0.07,0.688,0.463,0.136,0.358,0.537,0.592,0.143,0.379
