Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,0.17,9,8,0.526,0.000,0.824,0.000,0.000,0.000
Linux,0.15,115,118,0.407,0.138,0.876,0.530,0.517,0.524
Apache,0.10,6,6,1.000,0.270,1.000,0.167,0.167,0.167
Zookeeper,0.12,48,50,0.986,0.665,0.837,0.521,0.500,0.510
Hadoop,0.18,108,114,0.977,0.169,0.919,0.315,0.298,0.306
HealthApp,0.12,72,75,0.901,0.430,0.939,0.667,0.640,0.653
OpenStack,0.19,37,43,0.416,0.018,0.825,0.081,0.070,0.075
HPC,0.11,43,46,0.909,0.872,0.921,0.767,0.717,0.742
Mac,0.21,336,341,0.899,0.419,0.904,0.443,0.437,0.440
OpenSSH,0.16,69,26,0.487,0.073,0.400,0.058,0.154,0.084
Spark,0.12,31,36,0.922,0.396,0.806,0.387,0.333,0.358
Thunderbird,0.16,155,149,0.979,0.438,0.855,0.484,0.503,0.493
BGL,0.15,109,120,0.960,0.917,0.838,0.661,0.600,0.629
HDFS,0.13,14,14,1.000,0.000,1.000,0.000,0.000,0.000
