Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,0.64,6,11,0.505,0.494,0.471,0.333,0.182,0.235
Linux,1.01,370,338,0.799,0.049,0.757,0.295,0.322,0.308
Apache,1.20,29,29,1.000,0.094,1.000,0.379,0.379,0.379
Zookeeper,1.79,76,89,0.986,0.816,0.848,0.737,0.629,0.679
Hadoop,4.27,281,236,0.774,0.206,0.669,0.242,0.288,0.263
HealthApp,4.25,156,156,0.929,0.480,0.846,0.449,0.449,0.449
OpenStack,8.60,41,48,0.881,0.019,0.831,0.122,0.104,0.112
HPC,7.59,79,74,0.741,0.720,0.745,0.570,0.608,0.588
Mac,5.27,607,626,0.803,0.366,0.746,0.364,0.353,0.358
OpenSSH,18.06,36,38,0.331,0.092,0.676,0.250,0.237,0.243
Spark,441.27,346,236,0.750,0.413,0.533,0.208,0.305,0.247
Thunderbird,448.35,8375,1241,0.698,0.218,0.149,0.036,0.243,0.063
BGL,107.79,387,320,0.746,0.352,0.498,0.318,0.384,0.348
HDFS,280.59,34,46,0.721,0.165,0.725,0.529,0.391,0.450
