Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,1.84,7,11,0.514,0.000,0.556,0.000,0.000,0.000
Linux,0.65,367,338,0.363,0.065,0.738,0.275,0.299,0.287
Apache,1.32,29,29,1.000,0.093,1.000,0.310,0.310,0.310
Zookeeper,1.52,76,89,0.985,0.503,0.836,0.539,0.461,0.497
Hadoop,4.22,225,236,0.909,0.245,0.850,0.316,0.301,0.308
HealthApp,4.10,147,156,0.980,0.475,0.832,0.435,0.410,0.422
OpenStack,8.70,37,48,0.375,0.019,0.729,0.135,0.104,0.118
HPC,7.33,71,74,0.823,0.880,0.814,0.634,0.608,0.621
Mac,2.78,614,626,0.805,0.364,0.732,0.327,0.321,0.324
OpenSSH,19.33,36,38,0.668,0.151,0.811,0.306,0.289,0.297
Spark,354.07,360,236,0.750,0.413,0.577,0.211,0.322,0.255
Thunderbird,441.35,8364,1241,0.680,0.192,0.152,0.034,0.231,0.060
BGL,114.59,393,320,0.748,0.716,0.499,0.318,0.391,0.351
HDFS,291.19,33,46,0.721,0.000,0.684,0.000,0.000,0.000
