Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,0.55,8,11,0.521,0.503,0.737,0.500,0.364,0.421
Linux,1.05,358,338,0.374,0.077,0.773,0.304,0.322,0.313
Apache,1.14,29,29,1.000,0.094,1.000,0.379,0.379,0.379
Zookeeper,1.78,75,89,0.985,0.814,0.829,0.707,0.596,0.646
Hadoop,4.84,301,236,0.578,0.245,0.652,0.239,0.305,0.268
HealthApp,4.14,156,156,0.929,0.473,0.814,0.404,0.404,0.404
OpenStack,8.76,41,48,0.891,0.019,0.854,0.122,0.104,0.112
HPC,7.85,79,74,0.741,0.720,0.745,0.570,0.608,0.588
Mac,7.10,622,626,0.823,0.375,0.752,0.362,0.359,0.361
OpenSSH,19.22,40,38,0.609,0.093,0.744,0.275,0.289,0.282
Spark,512.51,363,236,0.752,0.414,0.561,0.209,0.322,0.254
Thunderbird,441.62,8379,1241,0.605,0.166,0.151,0.035,0.238,0.061
BGL,110.66,409,320,0.763,0.351,0.510,0.315,0.403,0.354
HDFS,288.11,35,46,1.000,0.444,0.716,0.514,0.391,0.444
