,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,0.16,0.14,0.09,0.12,0.15,0.12,0.18,0.11,0.24,0.12,0.11,0.17,0.15,0.13,0.142
identified_templates,11.0,124.0,6.0,52.0,114.0,72.0,41.0,43.0,342.0,31.0,33.0,175.0,120.0,14.0,84.143
ground_templates,8.0,118.0,6.0,50.0,114.0,75.0,43.0,46.0,341.0,26.0,36.0,149.0,120.0,14.0,81.857
GA,0.526,0.418,1.0,0.991,0.973,0.901,0.491,0.909,0.906,0.433,0.922,0.975,0.95,1.0,0.814
PA,0.0,0.139,0.27,0.67,0.17,0.43,0.018,0.872,0.421,0.073,0.396,0.443,0.918,0.0,0.344
FGA,0.737,0.868,1.0,0.882,0.93,0.939,0.952,0.921,0.914,0.667,0.783,0.852,0.858,1.0,0.879
PTA,0.0,0.5,0.167,0.558,0.316,0.667,0.073,0.767,0.444,0.129,0.364,0.486,0.6,0.0,0.362
RTA,0.0,0.525,0.167,0.58,0.316,0.64,0.07,0.717,0.446,0.154,0.333,0.57,0.6,0.0,0.366
FTA,0.0,0.512,0.167,0.569,0.316,0.653,0.071,0.742,0.445,0.14,0.348,0.525,0.6,0.0,0.363
