,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,1.2,0.65,1.25,1.58,4.71,4.1,9.11,7.1,2.88,18.68,348.79,454.51,113.4,291.15,89.936
identified_templates,11.0,439.0,35.0,82.0,274.0,153.0,46.0,74.0,715.0,51.0,415.0,8531.0,461.0,41.0,809.143
ground_templates,11.0,338.0,29.0,89.0,236.0,156.0,48.0,74.0,626.0,38.0,236.0,1241.0,320.0,46.0,249.143
GA,0.521,0.204,0.993,0.986,0.652,0.996,0.524,0.86,0.813,0.308,0.858,0.59,0.883,1.0,0.728
PA,0.0,0.06,0.093,0.504,0.247,0.476,0.019,0.897,0.373,0.094,0.414,0.171,0.83,0.0,0.298
FGA,0.636,0.746,0.844,0.865,0.788,0.867,0.957,0.878,0.79,0.584,0.599,0.172,0.604,0.851,0.727
PTA,0.0,0.289,0.257,0.561,0.27,0.425,0.109,0.676,0.319,0.216,0.2,0.039,0.384,0.0,0.268
RTA,0.0,0.376,0.31,0.517,0.314,0.417,0.104,0.676,0.364,0.289,0.352,0.27,0.553,0.0,0.324
FTA,0.0,0.327,0.281,0.538,0.29,0.421,0.106,0.676,0.34,0.247,0.255,0.069,0.453,0.0,0.286
