Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,0.31,14,8,0.503,0.000,0.455,0.000,0.000,0.000
Linux,0.27,32,118,0.361,0.124,0.160,0.125,0.034,0.053
Apache,0.20,16,6,0.312,0.006,0.364,0.125,0.333,0.182
Zookeeper,0.17,47,50,0.724,0.473,0.454,0.234,0.220,0.227
Hadoop,0.23,104,114,0.451,0.113,0.303,0.106,0.096,0.101
HealthApp,0.17,542,75,0.267,0.112,0.104,0.024,0.173,0.042
OpenStack,0.27,37,43,0.326,0.000,0.575,0.000,0.000,0.000
HPC,0.14,49,46,0.910,0.643,0.653,0.367,0.391,0.379
Mac,0.23,417,341,0.568,0.169,0.596,0.146,0.179,0.161
OpenSSH,0.21,26,26,0.611,0.298,0.769,0.231,0.231,0.231
Spark,0.20,265,36,0.282,0.259,0.073,0.023,0.167,0.040
Thunderbird,0.21,51,149,0.554,0.004,0.220,0.118,0.040,0.060
BGL,0.15,122,120,0.587,0.124,0.479,0.090,0.092,0.091
HDFS,0.17,23,14,0.930,0.004,0.595,0.043,0.071,0.054
