,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,0.2,0.17,0.09,0.14,0.15,0.11,0.17,0.11,0.34,0.11,0.15,0.16,0.15,0.13,0.156
identified_templates,8.0,100.0,6.0,48.0,115.0,70.0,36.0,47.0,311.0,27.0,30.0,154.0,101.0,14.0,76.214
ground_templates,8.0,118.0,6.0,50.0,114.0,75.0,43.0,46.0,341.0,26.0,36.0,149.0,120.0,14.0,81.857
GA,1.0,0.973,1.0,0.988,0.925,0.989,0.881,0.994,0.875,0.614,0.922,0.974,0.867,1.0,0.929
PA,0.0,0.325,0.27,0.667,0.167,0.517,0.018,0.726,0.429,0.128,0.396,0.438,0.481,0.166,0.338
FGA,1.0,0.853,1.0,0.878,0.83,0.897,0.835,0.968,0.847,0.83,0.818,0.825,0.742,1.0,0.88
PTA,0.0,0.58,0.167,0.562,0.278,0.629,0.083,0.681,0.444,0.148,0.4,0.487,0.574,0.143,0.37
RTA,0.0,0.492,0.167,0.54,0.281,0.587,0.07,0.696,0.405,0.154,0.333,0.503,0.483,0.143,0.347
FTA,0.0,0.532,0.167,0.551,0.279,0.607,0.076,0.688,0.423,0.151,0.364,0.495,0.525,0.143,0.357
