,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,0.55,1.05,1.14,1.78,4.84,4.14,8.76,7.85,7.1,19.22,512.51,441.62,110.66,288.11,100.666
identified_templates,8.0,358.0,29.0,75.0,301.0,156.0,41.0,79.0,622.0,40.0,363.0,8379.0,409.0,35.0,778.214
ground_templates,11.0,338.0,29.0,89.0,236.0,156.0,48.0,74.0,626.0,38.0,236.0,1241.0,320.0,46.0,249.143
GA,0.521,0.374,1.0,0.985,0.578,0.929,0.891,0.741,0.823,0.609,0.752,0.605,0.763,1.0,0.755
PA,0.503,0.077,0.094,0.814,0.245,0.473,0.019,0.72,0.375,0.093,0.414,0.166,0.351,0.444,0.342
FGA,0.737,0.773,1.0,0.829,0.652,0.814,0.854,0.745,0.752,0.744,0.561,0.151,0.51,0.716,0.703
PTA,0.5,0.304,0.379,0.707,0.239,0.404,0.122,0.57,0.362,0.275,0.209,0.035,0.315,0.514,0.353
RTA,0.364,0.322,0.379,0.596,0.305,0.404,0.104,0.608,0.359,0.289,0.322,0.238,0.403,0.391,0.363
FTA,0.421,0.313,0.379,0.646,0.268,0.404,0.112,0.588,0.361,0.282,0.254,0.061,0.354,0.444,0.349
